title,imdb_id,year,summary,people,decade,people_count,has_summary,language
Dutta Vs Dutta,tt2556700,2012.0,Dutta Vs Dutta is a 2012 Indian Bengali film directed by Anjan Dutt. This is Anjan Dutt's semi-autobiographical film. Most of the film has been shot in a house of Amherst Street in Kolkata. Anjan has described this house as that which resonated the feel of his old house of Beniapukur.,Anjan Dutt; Arpita Pal; Deepankar De; Kaushik Sen; Parno Mittra; Rita Koiral; Roopa Ganguly; Srijit Mukherji,2010.0,8,True,
Ferrari Ki Sawaari,tt2122340,2012.0,"Ferrari Ki Sawaari is a 2012 Indian Hindi-language sports comedy drama film written and directed by Rajesh Mapuskar and produced by Vidhu Vinod Chopra under the production banners of Eros International and Vinod Chopra Films. The film was released in India on 15 June 2012 and stars an ensemble cast of Sharman Joshi, Boman Irani, Ritvik Sahore, Vidya Balan, Paresh Rawal, Seema Bhargava Pahwa, Deepak Shirke, Aakash Dabhade, Vijay Nikam, Nilesh Diwekar and Bhalchandra Kadam.",Boman Irani; Rajesh Mapuskar; Sharman Joshi; Vidhu Vinod Chopra,2010.0,4,True,Hindi
Gangs of Wasseypur,tt1954470,2012.0,"Gangs of Wasseypur is a 2012 Indian Hindi-language two-part epic black comedy crime film produced and directed by Anurag Kashyap, and written by Kashyap and Zeishan Quadri. Centered on the coal mafia of Dhanbad, and the underlying power struggles, politics and vengeance between three crime families, the film has an ensemble cast, with Manoj Bajpai, Nawazuddin Siddiqui, Pankaj Tripathi, Richa Chadda, Jaideep Ahlawat, Huma Qureshi and Tigmanshu Dhulia in the major roles. Its story spans 68 years from 1941 to 2009.",Anurag Kashyap; Manoj Bajpai; Zeishan Quadri,2010.0,3,True,Hindi
Gangs of Wasseypur – Part 1,,2012.0,"Gangs of Wasseypur – Part 1 is a 2012 Indian Hindi-language epic black comedy crime film directed by Anurag Kashyap, and written by Kashyap and Zeishan Quadri. It precedes Part 2 as the first part of the movie Gangs of Wasseypur, centered on the coal mafia of Dhanbad, and the underlying power struggles, politics and vengeance between three crime families from 1941 to the mid-1990s. Part 1 stars an ensemble cast, featuring Manoj Bajpayee, Richa Chadda, Reema Sen, Piyush Mishra, Nawazuddin Siddiqui, Vineet Kumar Singh, Pankaj Tripathi, Huma Qureshi, Anurita Jha and Tigmanshu Dhulia.",Anurag Kashyap; Huma Qureshi; Jaideep Ahlawat; Manoj Bajpai; Nawazuddin Siddiqui; Piyush Mishra; Reema Sen; Richa Chadha; Sunil Bohra; Tigmanshu Dhulia; Zeishan Quadri,2010.0,11,True,Hindi
Gangs of Wasseypur – Part 2,,2012.0,"Gangs of Wasseypur – Part 2 is a 2012 Indian Hindi-language epic black comedy crime film co-written, produced and directed by Anurag Kashyap. It follows Part 1 as the second part of the movie Gangs of Wasseypur, centered on the coal mafia of Dhanbad, Jharkhand and the underlying power struggles, and dynamics of politics and vengeance between three crime families. Part two features an ensemble cast with Nawazuddin Siddiqui, Manoj Bajpayee, Richa Chadda, Huma Qureshi, Reema Sen, Piyush Mishra, Pankaj Tripathi, Zeishan Quadri, Rajkumar Rao and Tigmanshu Dhulia in major roles. Its story spans from the 1990s to 2009.",Anurag Kashyap; Guneet Monga; Huma Qureshi; Nawazuddin Siddiqui; Pankaj Tripathi; Richa Chadha; Sunil Bohra; Tigmanshu Dhulia; Zeishan Quadri,2010.0,9,True,Hindi
Heroine (2012 film),tt1949548,2012.0,"Heroine is a 2012 Indian Hindi-language satire film directed, written, and co-produced by Madhur Bhandarkar. Revolving around the life of a once-successful film actress whose career is on the decline, the film features Kareena Kapoor as the protagonist, along with actors Arjun Rampal and Randeep Hooda. Additionally, the film also stars Shahana Goswami, Raqesh Bapat, Divya Dutta, Helen, Shilpi Sharma, Mugdha Godse and Lillete Dubey in supporting roles.",Anuraadha Tewari; Arjun Rampal; Kareena Kapoor Khan; Madhur Bhandarkar; Randeep Hooda; Ronnie Screwvala; Sanjay Suri; Shahana Goswami,2010.0,8,True,Hindi
"Inshallah, Kashmir",tt2255851,2012.0,"Inshallah, Kashmir is a 2012 documentary film directed, produced and written by Ashvin Kumar. It is the story of contemporary Kashmir. A series of counterpointed testimonies, the heartbreaking coming-of-age of ordinary people; warped and brutalised by two decades of militancy and its terrible response. Tehelka says, ""Although the camera and narrator usually provide the impartial eye in a documentary, stitching the story together, in Inshallah, Kashmir it is the Kashmiris who weave their deadpan narrative into a cohesive picture. Their matter-of-fact monotone says more than an entire valley of screams could.""",Ashvin Kumar,2010.0,1,True,
Ishq (2012 film),tt2265381,2012.0,,Ajay; Nithya Menen; Nitin; Vikram Kumar,2010.0,4,False,
Kahaani,tt1821480,2012.0,"Kahaani is a 2012 Indian Hindi-language action thriller film co-written, co-produced, and directed by Sujoy Ghosh. It stars Vidya Balan as Vidya Bagchi, a pregnant woman looking for her missing husband in Kolkata during the festival of Durga Puja, assisted by Assist Sub-Inspector Satyoki ""Rana"" Sinha and Inspector General A. Khan.",Abir Chatterjee; Darshan Jariwala; Dhritiman Chatterjee; Indraneil Sengupta; Nawazuddin Siddiqui; Parambrata Chatterjee; Saswata Chatterjee; Sujoy Ghosh; Vidya Balan,2010.0,9,True,Hindi
Kalpana (2012 film),tt3178816,2012.0,,Babu Antony; Raghava Lawrence; Rai Laxmi; Rama Narayanan; Sai Kumar; Upendra,2010.0,6,False,
