title,imdb_id,year,summary,people,decade,people_count,has_summary,language
19th January (film),tt3585456,,"19th January is a 2014 Indian Hindi-language drama film written and directed by Sanjay Amar. Produced by Deepmala Tanwar, the film presents a fictional storyline centred around the 1990 exodus of Kashmiri Hindus from Indian-administered Kashmir. It stars Deepti Naval, K. K. Raina, Madhuri Bhatia, Prashantt Guptha, and Bidita Baig.",Sanjay Amar,,1,True,Hindi
2006 Varanasi – The Untold,tt8333800,,Varanasi is an unreleased Indian Hindi-language thriller film written and directed by Aryaman Keshu. Raima Sen plays the lead role in the film.,,,0,True,Hindi
2K Love Story,tt33059320,,"2K Love Story is a 2025 Indian Tamil-language romantic comedy drama film written and directed by Suseenthiran. The film stars a debuted actor, Jagaveer in the lead role opposite Meenakshi Govindarajan as the female lead, alongside Bala Saravanan, Antony Bhagyraj, Jayaprakash, Vinodhini Vaidyanathan and others in supporting roles. The film is produced by Vignesh Subramanian under City Light Pictures and the technical crew comprises D. Imman as the music composer, V. S. Anandha Krishna as the cinematographer, and Thiyagu as the editor.",,,0,True,Tamil
36 Gunn,tt9631932,,"36 Gunn is an Indian Marathi language film directed by Samit Kakkad. The film stars Santosh Juvekar, Vijay Patkar, Purva Pawar and Pushkar Shrotri. Music by Ajit Parab. The film was released on 4 November 2022.",,,0,True,Marathi
4 Sorry,tt15427844,,"4 Sorry is a 2021 Indian Tamil-language anthology film, consisting of four short film segments directed by Sakthivel. Featuring John Vijay, Kaali Venkat and Sakshi Agarwal in leading roles, the film was released on 29 October 2021.",,,0,True,Tamil
45 (2025 film),tt27263807,,"45 is an upcoming Kannada-language action fantasy film directed by Arjun Janya in his directorial debut and produced by Ramesh Reddy under the Suraj Productions banner. It stars Shiva Rajkumar, Upendra, Raj B. Shetty, Jisshu Sengupta and Kaustubha Mani in lead roles.",,,0,True,Kannada
6ne Maili,tt8108150,,6ne Maili is a 2018 Kannada-language thriller film directed by See Ni and starring Sanchari Vijay and RJ Nethra.,,,0,True,Kannada
7 Days 6 Nights,tt15310668,,"7 Days 6 Nights is a 2022 Indian Telugu-language coming-of-age romantic comedy film written and directed by M. S. Raju. The film features Sumanth Ashwin, Meher Chahal, Rohan M and Kritika Shetty in primary roles. 7 Days 6 Nights was released on 24 June 2022.",,,0,True,Telugu
72 Model,,,72 Model is a 2013 Indian Malayalam-language drama film directed by Rajasenan and starring Govind Padmasoorya and Sreejith Vijay. The film released alongside Akam and August Club. The film's name is based on a 1972 model of an ambassador. The film released to mixed reviews.,,,0,True,Malayalam
8 A.M. Metro,tt27511275,,"8 A.M. Metro is a 2023 Indian Hindi-language drama film written and directed by Raj Rachakonda. The film stars Gulshan Devaiah and Saiyami Kher in pivotal roles. The film tells the unusual story of two strangers who inadvertently bump into each other in the metro and strike up an unlikely friendship, in the process finding themselves and each other.",,,0,True,Hindi
8:08 Er Bongaon Local,tt5470672,,"8:08 Er Bongaon Local is a Bengali social drama film directed by Debaditya Bandyopadhyay and produced by Torun Raut. This film was released on 27 April 2012 under the banner of Unimass Entertainment. This movie was based on an infamous incident of eve teasing and murder at Barasat, North 24 Parganas in 2011.",,,0,True,
8½ Intercuts: Life and Films of K.G. George,tt7248506,,"8½ Intercuts: Life and Films of K.G. George is an Indian documentary film produced in Malayalam about K.G. George, one of the leading directors of Indian cinema. The film was screened in 2017th International Film Festival of Goa and selected for non-feature section of Indian panorama. The film was directed by Lijin Jose and produced by Shibu G. Suseelan.",,,0,True,
916 Kunjoottan,tt36329718,,"916 Kunjoottan is an upcoming Indian Malayalam language comedy action thriller film written and directed by Aaryan Vijay in his directorial debut. The film stars Guinness Pakru in lead role, along with Tini Tom and Rakesh Subramanian.",,,0,True,Malayalam
A Rainy Day (2014 film),tt3527068,,"A Rainy Day is an Indian Marathi language film directed by Rajendra Talak and produced by Priyanka Bidaye Talak. The film stars Mrinal Kulkarni, Subodh Bhave and Ajinkya Deo. Music by Ashok Patki. The film was released on 31 January 2014.",,,0,True,Marathi
A: Ad Infinitum,tt12503708,,"A: Ad Infinitum is a 2021 Indian Telugu-language medical thriller film directed by Ugandhar Muni which stars Nithin Prasanna in a triple role alongside Preethi Asrani in lead roles. The film was released on 5 March 2021 to mixed to positive reviews and on Amazon Prime, streaming from 16 March 2021.",Preethi Asrani,,1,True,Telugu
"AFSPA, 1958",tt0832848,,"AFSPA, 1958 is a 2006 Manipuri documentary film directed by Haobam Paban Kumar in his directorial debut and produced by Bachaspatimayum Sunzu and Haobam. The film won the National Film Award for Best Non-Feature Film at the 56th National Film Awards.",,,0,True,
AGP Schizophrenia,tt15654318,,AGP (Schizophrenia) is a 2022 Indian Tamil-language psychological thriller film directed by Ramesh Subramaniyan and starring Lakshmi Menon and R. V. Bharathan. It was released on 21 January 2022.,,,0,True,Tamil
ALCC (O Universal Bachelor),tt36625994,,"A L C C (O Universal Bachelor) is a 2025 Indian Telugu-language drama film written, directed, and produced by Leleedhar Rao Kola under the banner LR Film Circuits. The film stars J P Naveen and Shravani Shetti in the lead roles, with supporting cast by Srikar Komanduri, Sham Nayak, Dhanush Devara Poli, and D. Sreenivasulu Reddy",,,0,True,Telugu
Aa Aiduguru,tt8976690,,"Aa Aidiguru is a 2014 Indian Telugu-language action film directed by Anil Gurudu and starring Kranthi Reddy, Tanishq Reddy, Kranthi Kumar, Shashi and Krishna Teja. The film was released to negative reviews.",,,0,True,Telugu
Aa Ammayi Gurinchi Meeku Cheppali,tt14598646,,Aa Ammayi Gurinchi Meeku Cheppali is a 2022 Indian Telugu-language romantic drama film written and directed by Mohana Krishna Indraganti and produced by Benchmark Studios and Mythri Movie Makers. The film stars Sudheer Babu and Krithi Shetty. The music is composed by Vivek Sagar with cinematography by P. G. Vinda and editing by Marthand K. Venkatesh.,Mohan Krishna Indraganti,,1,True,Telugu
Aachar & Co,tt28283958,,"Aachar & Co is a 2023 Indian Kannada-language coming-of-age comedy-drama film written and directed by Sindhu Sreenivasa Murthy and starring herself, Vamsidhar Bhogaraju, Harshil Koushik, Anirudh Acharya and Jagadishwar Sukumar. The movie marked the directorial debut of Sindhu. The movie had mostly women technicians, which is a rarity in Sandalwood.",,,0,True,Kannada
