title,imdb_id,year,summary,people,decade,people_count,has_summary,language
Aasai Thambi,tt24064404,1998.0,"Aasai Thambi is a 1998 Indian Tamil-language crime drama film directed by Senthilnathan. The film stars Arun Pandian, Abbas and Anju Aravind in the lead roles, while Manivannan and Ajay Rathnam portray supporting roles. Music for the film was composed by Adithyan and it was released on 18 September 1998. It is a remake of the Hindi film Parinda (1989).",C. Arunpandian; Senthilnathan Jambulingam,1990.0,2,True,Tamil
Ajab Gayer Ajab Katha,,1998.0,Ajab Gayer Ajab Katha is a Bengali language fantasy comedy film directed by Tapan Sinha based on a novel Nabiganjer Daityo of Sirshendu Mukhopadhyay. This film was released in 1998 under the banner of Shree Venkatesh Films. This was the last complete movie made by director Tapan Sinha.,Debashree Roy; Kaushik Sen; Manoj Mitra; Rajatava Dutta; Soumitra Chatterjee; Tapan Sinha,1990.0,6,True,Bengali
Aval Varuvala,tt2378334,1998.0,"Aval Varuvala is a 1998 Indian Tamil-language romantic thriller film directed by Raj Kapoor. It is the Tamil remake of the 1997 Telugu film Pelli. The film stars Ajith Kumar and Simran in the lead roles, while Sujatha, Babloo Prithiveeraj, Goundamani and Senthil play other supporting roles.",Ajith Kumar; Babloo Prithviraj; Raj Kapoor; Simran; Sujatha,1990.0,5,True,Tamil
Banglar Badhu,tt7158996,1998.0,,Anup Sengupta; Tapas Paul,1990.0,2,False,
Bhagavath Singh,tt33257321,1998.0,,Goundamani; Napoleon; Sanghavi; Senthil,1990.0,4,False,
Bombay Boys,tt0168529,1998.0,"Bombay Boys is a 1998 Indian crime comedy film written and directed by the Indian director Kaizad Gustad. It follows the adventures of three young men in modern-day Mumbai. The boys are of Indian origin, but were all raised in the West. Krishna Sahni is an aspiring actor from New York City who wants to make it big in Bollywood. Ricardo Fernandes is from Sydney and is in Mumbai to search for his long-lost brother. Finally, Xerxes Mistry, a musician from London, is looking to discover his ""roots"" in the land of his ancestors.",Kaizad Gustad; Naseeruddin Shah; Naveen Andrews; Rahul Bose; Roshan Seth,1990.0,5,True,
Cheran Chozhan Pandian,tt28697133,1998.0,,Ranjith,1990.0,1,False,
Colour Kanavugal,tt10160574,1998.0,,,1990.0,0,False,
Dharma (1998 film),tt0276065,1998.0,,Kothanda Ramaiah; Vijayakanth,1990.0,2,False,
Dhinamdhorum,tt31316609,1998.0,Dhinamdhorum (transl. Everyday) is a 1998 Indian Tamil-language romantic drama film written and directed by Nagaraj in his debut. The film stars Murali and Suvalakshmi. It was released on 14 February 1998. The film was remade in Telugu as Manasichi Choodu.,Murali,1990.0,1,True,Tamil
Earth (1998 film),tt0150433,1998.0,,Aamir Khan; Arif Zakaria; Bapsi Sidhwa; Deepa Mehta; Eric Peterson; Gulshan Grover; Javed Jaffrey; Kitu Gidwani; Kulbhushan Kharbanda; Maia Sethna; Nandita Das; Pavan Malhotra; Raghubir Yadav; Rahul Khanna; Rahul Ram; Rajendra Kumar; Shabana Azmi,1990.0,17,False,
Ellame En Pondattithaan,tt8943246,1998.0,,A. M. Rathnam; Ramki; V. Sekhar,1990.0,3,False,
En Aasai Rasave,tt1725965,1998.0,,Kasthuri Raja; Murali; Pyramid Natarajan; Raadhika Sarathkumar; Roja; Sivaji Ganesan; Suvalakshmi,1990.0,7,False,
En Uyir Neethaane,tt12465740,1998.0,,Devayani; Goundamani; Maheswari; Prabhu Ganesan; S. P. Rajkumar; Senthil; Srividya,1990.0,7,False,
Gol Mall,,1998.0,,K. S. Ravikumar; Selva,1990.0,2,False,
Guru Paarvai,tt31538505,1998.0,,Manoj Kumar; P. Kalaimani; Prakash Raj,1990.0,3,False,
Harichandra (1998 film),tt11542440,1998.0,,Cheyyar Ravi; Karthik,1990.0,2,False,
Hothat Brishti,tt4744132,1998.0,,Basu Chatterjee; Ferdous Ahmed; Priyanka Upendra,1990.0,3,False,
Hyderabad Blues,tt0195814,1998.0,"Hyderabad Blues is a 1998 Indian drama film written, directed, and produced by Nagesh Kukunoor. Primarily shot in the English language, the film explores culture clash from an Indian American's perspective, vacationing back home in Hyderabad, India and finding himself a foreigner in his own land. The film starred non-mainstream actors, including Kukunoor in his directorial and acting debut, as well as his family members and friends. The film heralded new age Indian independent cinema.",Nagesh Kukunoor,1990.0,1,True,
Ini Ellam Sugame,tt24062552,1998.0,,A. R. Ramesh; Sirpy,1990.0,2,False,
Iniyavale,tt8971542,1998.0,,Deva; Senthamilan Seeman,1990.0,2,False,
Jeans (film),tt0151121,1998.0,,Aishwarya Rai Bachchan; Ashok Amritraj; Balakumaran; Nassar; Prashanth; Raadhika Sarathkumar; Raju Sundaram; S. Shankar; Senthil; Sunanda Murali Manohar; Yaragudipati Venkata Mahalakshmi,1990.0,11,False,
Jolly (film),tt24062916,1998.0,,Abbas; Kausalya; Keerthi Reddy; shajimon,1990.0,4,False,
Kaadhal Mannan,tt2378298,1998.0,,Ajith Kumar; Karan; M. S. Viswanathan; Saran; Vivek,1990.0,5,False,
Kaadhale Nimmadhi,tt1725993,1998.0,,Murali; Sivasakthi Pandian; Suriya,1990.0,3,False,
Kaathala Kaathala,tt1263790,1998.0,,Crazy Mohan; Kamal Haasan; P. L. Thenappan; Prabhu Deva; Rambha (actress); Singeetam Srinivasa Rao; Soundarya,1990.0,7,False,
Kalyana Galatta,tt1509808,1998.0,,Khushbu Sundar; Manivannan; R. Sundarrajan; Raasi; Raj Kapoor; S. Ve. Shekher; Sathyaraj,1990.0,7,False,
Kangalin Vaarthaigal,tt0292044,1998.0,,Karan; Muktha S. Sundar; Prema; Sunil Kumar Desai; Vikram,1990.0,5,False,
Kannathal,tt0316092,1998.0,,Bharathi Kannan; shajimon,1990.0,2,False,
Kannedhirey Thondrinal,tt0330508,1998.0,,Karan; Prashanth; Ravichandran; Simran; Sivasakthi Pandian; Srividya; Vignesh Gunasekaran; Vivek,1990.0,8,False,
Kavalai Padathe Sagodhara,tt0308456,1998.0,,Kothanda Ramaiah; Pandiarajan,1990.0,2,False,
Kizhakkum Merkkum,tt0316114,1998.0,,Ilaiyaraaja; Kalanjiyam,1990.0,2,False,
Kondattam,tt11898492,1998.0,,Arjun Sarja; K. S. Ravikumar; M. M. Keeravani; Raasi; Simran,1990.0,5,False,
Kumbakonam Gopalu,tt0316133,1998.0,,Kothanda Ramaiah; Pandiarajan,1990.0,2,False,
Maru Malarchi,tt0246774,1998.0,,Mammootty; Marumalarchi Bharathi; S. A. Rajkumar,1990.0,3,False,
Moovendhar,tt23783082,1998.0,"Moovendhar is a 1998 Indian Tamil-language masala film directed by Suraj, in his directorial debut. The film stars R. Sarathkumar and Devayani. It was released on 12 January 1998, and failed at the box office.",SurajR,1990.0,1,True,Tamil
Muthu (film),tt0140399,1998.0,,K. S. Ravikumar; Meena; Radha Ravi; Raghuvaran; Rajini kanth; Sarath Babu; Senthil; Vadivelu,1990.0,8,False,
Naam Iruvar Namakku Iruvar,tt10163202,1998.0,,Anandaraj; Gemini Ganesan; Jayaram; K. Balachander; Maheswari; Manivannan; Meena; Prabhu Deva; S. S. Chandran; Senthil; Sundar C; Vivek,1990.0,12,False,
Nilaave Vaa,tt4976496,1998.0,,A. Venkatesh; K. T. Kunjumon; Sanghavi; Suvalakshmi; Vijay,1990.0,5,False,
Ninaithen Vandhai,tt6827430,1998.0,,Allu Aravind; Devayani; K. Selva Bharathy; Rambha (actress); Vijay,1990.0,5,False,
Ponmaanai Thedi,,1998.0,,,1990.0,0,False,
Ponmanam,,1998.0,,Prabhu Ganesan; Pyramid Natarajan; S. P. Rajkumar,1990.0,3,False,
Ponnu Velayira Bhoomi,,1998.0,,Deva,1990.0,1,False,
Poonthottam,tt0316427,1998.0,,Kalanjiyam; Murali,1990.0,2,False,
Pooveli,tt1764546,1998.0,"Pooveli is a 1998 Indian Tamil-language romantic drama film directed by Selva, who also co-wrote the screenplay. An unofficial remake of A Walk in the Clouds (1995), the film stars Karthik, Abbas, Kausalya and Heera Rajagopal. It was released on 4 December 1998. The film was remade in Telugu as Alludugaaru Vachcharu (1999) with Kausalya, Abbas and Heera reprising their roles.",Abbas; Heera Rajagopal; Karthik; Kausalya; Selva,1990.0,5,True,Tamil
Priyamudan,tt6827584,1998.0,"Priyamudan is a 1998 Indian Tamil-language psychological romantic thriller film directed by Vincent Selva. The film stars Vijay and Kausalya, with Sujith Sagar, Jai Ganesh and Nassar in supporting roles. It focuses on a young businessman, who is of a hyper-possessive nature and therefore he tries to achieve whatever he desires using any means.",Deva; Vijay; Vincent Selva,1990.0,3,True,Tamil
Pudhumai Pithan (1998 film),tt6755908,1998.0,,Deva; R. N. R. Manohar,1990.0,2,False,
Putrabadhu,tt7162396,1998.0,,Ashok Kumar; Pallab Ghosh,1990.0,2,False,
