title,imdb_id,year,summary,people,decade,people_count,has_summary,language
Kuzhandaiyum Deivamum,tt0234066,1965.0,"Kuzhandaiyum Deivamum is a 1965 Indian Tamil-language children's drama film directed by Krishnan–Panju and written by Javar Seetharaman. It is based on the American film The Parent Trap (1961) which in turn was based on Erich Kästner's 1949 German novel Lisa and Lottie. The film stars Jaishankar and Jamuna, with Nagesh, Sundarrajan, G. Varalakshmi, Santha, Kutty Padmini, M. S. S. Bhagayam and V. R. Thilagam in supporting roles. It revolves around a couple who separate, and the efforts of their twin daughters to reunite them.",A. V. Meiyappan; Jaishankar; Jamuna; Javar Seetharaman; Kutty Padmini; Nagesh; R. Krishnan; S. Panju,1960.0,8,True,Tamil
Maduve Madi Nodu,,1965.0,,Dr. Rajkumar; Hunsur Krishnamurthy,1960.0,2,False,
Maganey Kel,,1965.0,,Muktha Srinivasan; S. S. Rajendran,1960.0,2,False,
Mahabharat (1965 film),tt0242636,1965.0,,Abhi Bhattacharya; Babubhai Mistry; Dara Singh; Jeevan; Padmini; Pradeep Kumar; Vyasa,1960.0,7,False,
Mahasathi Anasuya,tt0261036,1965.0,,B. S. Ranga; Chi. Udaya Shankar; Pandari Bai,1960.0,3,False,
Manchi Kutumbam,tt0263709,1965.0,,Aathreya; Akkineni Nageswara Rao; Allu Rama Lingaiah; Chandra Mohan; Gummadi Venkateswara Rao; Kanchana; Krishna Ghattamaneni; Sowcar Janaki; V. Madhusudhan Rao; Vijaya Nirmala,1960.0,10,False,
Mangamma Sapatham (1965 film),tt1510804,1965.0,,B. Vittalacharya; D. V. S. Raju; Mullapudi Venkata Ramana; N. T. Rama Rao,1960.0,4,False,
Manushulu Mamathalu,tt8758148,1965.0,,Akkineni Nageswara Rao; Gummadi Venkateswara Rao; Kotayya Pratyagatma,1960.0,3,False,
Mere Sanam,tt0059445,1965.0,"Mere Sanam is a 1965 Hindi film starring Biswajeet, Asha Parekh, Mumtaz, Pran and Rajendra Nath. The film was a hit at the box office, especially because of the musical score by Majrooh Sultanpuri, O. P. Nayyar and the Asha Bhosle - Mohammed Rafi collaboration. The film was shot in the beautiful locales of Kashmir just before the outbreak of Indo-Pakistani war of 1965.",Amar Kumar; Asha Parekh; G. P. Sippy; Narendra Bedi; Pran; Rajinder Singh Bedi,1960.0,6,True,
Naadi Aada Janme,tt0340259,1965.0,"Naadi Aada Janme is a 1965 Indian Telugu-language drama film directed by A. C. Trilokchandar and produced by S. V. Ranga Rao. The film stars N. T. Rama Rao and Savitri in lead roles, with music composed by R. Sudarsanam. The film centres on a dark-complexioned, uneducated woman who proves to everyone that character is more important than appearance and education for a woman.",A. C. Tirulokchandar; Allu Rama Lingaiah; D. V. Narasa Raju; S. V. Ranga Rao,1960.0,4,True,Telugu
Naanal (film),tt0154924,1965.0,"Naanal is a 1965 Indian Tamil-language crime comedy film, written and directed by K. Balachander. It is based on his play of the same name. The film stars R. Muthuraman, Major Sundarrajan, Srikanth, Sowcar Janaki, K. R. Vijaya and Nagesh. It was released on 24 December 1965 and failed at the box office.",K. Balachander; R. Muthuraman,1960.0,2,True,Tamil
Neela Vaanam,tt1445694,1965.0,,K. Balachander; P. Madhavan; Sivaji Ganesan,1960.0,3,False,
Neerkumizhi,tt0154944,1965.0,"Neerkumizhi is a 1965 Indian Tamil-language film directed by K. Balachander in his directorial debut. It portrayed the stories of patients and staff in a hospital setting. The film is based on Balachander's play of the same name. It was released on 23 October 1965. The film was remade in Telugu as Chiranjeevi (1969), and in Malayalam as Aaradimanninte Janmi (1972).",K. Balachander; Nagesh,1960.0,2,True,Tamil
Oru Viral,,1965.0,,Oru Viral Krishna Rao,1960.0,1,False,
Panam Padaithavan,tt1475393,1965.0,,M. G. Ramachandran; Sakthi T. K. Krishnasamy; T. R. Ramanna,1960.0,3,False,
Panchavarna Kili,tt3460798,1965.0,,Jaishankar; K. Shankar,1960.0,2,False,
Pandava Vanavasam,tt0263831,1965.0,,Allu Rama Lingaiah; Gummadi Venkateswara Rao; Kaikala Satyanarayana; Kamalakara Kameshwara Rao; N. T. Rama Rao; Samudrala Raghavacharya; Savitri,1960.0,7,False,
Pazhani (1965 film),tt0156884,1965.0,,A. Bhimsingh; Sivaji Ganesan,1960.0,2,False,
Poojaikku Vandha Malar,tt3460800,1965.0,,Muktha Srinivasan; Savitri,1960.0,2,False,
