title,imdb_id,year,summary,people,decade,people_count,has_summary,language
Ek Chhotisi Love Story,tt0331479,2002.0,Ek Chhotisi Love Story is a 2002 Indian romantic film directed by Shashilal K. Nair. The film is an adaptation of Krzysztof Kieślowski's A Short Film About Love. It was successful at the box office.,Manisha Koirala; Shashilal K. Nair,2000.0,2,True,
Hum Kisise Kum Nahin (2002 film),tt0320097,2002.0,"Hum Kisise Kum Nahin is a 2002 Indian Hindi-language action comedy film directed by David Dhawan and produced by Afzal Khan. The film stars Amitabh Bachchan, Sanjay Dutt, Ajay Devgn and Aishwarya Rai.",Aishwarya Rai Bachchan; Ajay Devgn; Amitabh Bachchan; David Dhawan; Sanjay Dutt,2000.0,5,True,Hindi
Humraaz,tt0326576,2002.0,"Humraaz (transl. Confidant) is a 2002 Indian Hindi-language thriller film directed by the duo Abbas–Mustan. The film stars Bobby Deol, Akshaye Khanna, and Ameesha Patel⁣⁣ and marks the third collaboration between Deol and the director duo.",Abbas Alibhai Burmawalla; Ameesha Patel; Bobby Deol; Ganesh Jain; Mastan Alibhai Burmawalla,2000.0,5,True,Hindi
Kaante,tt0294662,2002.0,"Kaante is a 2002 Indian Hindi-language action thriller film directed by Sanjay Gupta, written by Milap Zaveri, and starring an ensemble cast including Amitabh Bachchan, Sanjay Dutt, Sunil Shetty, Lucky Ali, Mahesh Manjrekar, Kumar Gaurav, Namrata Singh Gujral, Rati Agnihotri, Rohit Roy, Isha Koppikar and Malaika Arora.",Amitabh Bachchan; Jeff Davis; Kumar Gaurav; Lucky Ali; Mahesh Manjrekar; Malaika Arora; Rati Agnihotri; Sanjay Dutt; Sanjay Gupta; Sunil Shetty,2000.0,10,True,Hindi
Leela (2002 film),tt0300115,2002.0,"Leela is a 2002 drama film directed by Somnath Sen. The movie stars Dimple Kapadia and Deepti Naval. The film's story is loosely based on Summer of '42. The film premiered at Reel World Film Festivalm, Toronto, in 2005. It also was featured in the 2002 edition of the IAAC Film Festival, conducted by the Indian diaspora, which works to showcase the Indian films to the West.",Deepti Naval; Dimple Kapadia; Somnath Sen; Vinod Khanna,2000.0,4,True,
Mujhse Dosti Karoge!,tt0272736,2002.0,"Mujhse Dosti Karoge! is a 2002 Indian Hindi-language musical romance film written and directed by Kunal Kohli in his directorial debut, and produced by Yash Chopra under his banner, Yash Raj Films. The film stars Hrithik Roshan, Rani Mukerji and Kareena Kapoor in the lead roles, with Uday Chopra in a special appearance. The film follows the love triangle of 3 childhood friends: Pooja (Mukerji), Raj (Roshan) and Tina (Kapoor). The film's music was composed by Rahul Sharma, with the lyrics written by Anand Bakshi.",Aditya Chopra; Hrithik Roshan; Kareena Kapoor Khan; Kunal Kohli; Rani Mukerji; Satish Shah; Smita Jaykar; Uday Chopra; Yash Chopra,2000.0,9,True,Hindi
Nagarahavu (2002 film),tt10682976,2002.0,"Nagarahavu (transl. Cobra) is a 2002 Indian Kannada-language psychological thriller film starring Upendra and Jyothika, directed by S. Murali Mohan. A remake of the 1993 Hindi film Baazigar, it shocked its Karnataka audience with an unexpected violation of the standard Kannada film industry formula, with a morally ambiguous hero. An above-average success at the box office, this was Upendra's second film portraying a negative role after his earlier blockbuster Preethse, a remake of the 1993 Hindi film Darr. In both remakes, Upendra played Shah Rukh Khan's roles. It was Jyothika's debut in Kannada film industry. For his work in the film, Upendra won the Udaya Film Award for Best Male Actor along with Jyothika for her Best Female Actor Award.",Jyothika; Robin Bhatt; Rockline Venkatesh; Sadhu Kokila; Upendra,2000.0,5,True,Kannada
Raaz (2002 film),tt0307873,2002.0,"Raaz (transl. Secret) is a 2002 Indian supernatural horror film directed by Vikram Bhatt. The film stars Dino Morea and Bipasha Basu in lead roles, with Malini Sharma and Ashutosh Rana in supporting roles. The story follows Aditya and Sanjana who are a couple and have moved to Ooty to save their failing marriage. However, what they find in their new home is more than they expected when a ghost starts haunting the place. The wife (Sanjana) soon realises that her husband (Aditya) is part of a ghostly and scary conspiracy, which she must solve to restore their relationship. The film is an unofficial adaptation of the American film What Lies Beneath (2000).",Bipasha Basu; Dino Morea; Mahesh Bhatt; Mukesh Bhatt; Vikram Bhatt,2000.0,5,True,
Shakti: The Power,tt0331639,2002.0,"Shakti: The Power is a 2002 Indian Hindi-language crime drama film co-written and directed by Krishna Vamsi, starring Karisma Kapoor, Nana Patekar, Sanjay Kapoor in leading roles, with Shah Rukh Khan, Deepti Naval, Ritu Shivpuri, Anupam Shyam and Prakash Raj in supporting roles. The film is a remake of the 1998 film Anthahpuram, which was based on the real-life story of Betty Mahmoody. The original story of real life escape of the Betty Mahmoody is depicted in the film Not Without My Daughter (1991) which itself was based on Betty Mahmoody's book of the same name. In the film, Shekhar and Nandini's decision to visit his ancestral house in a rural Indian town goes awry when they find themselves embroiled in a feudal gang war and try to return home to Canada.",Boney Kapoor; Deepti Naval; Jaspal Bhatti; Karisma Kapoor; Krishna Vamsi; Nana Patekar; Prakash Raj; Sanjay Kapoor; Shah Rukh Khan; Sridevi; Tiku Talsania; Vijay Raaz,2000.0,12,True,Hindi
Soch,tt0329620,2002.0,"Soch is a 2002 Hindi language crime thriller mystery film starring Sanjay Kapoor, Raveena Tandon, Arbaaz Khan, Danny Denzongpa and Aditi Govitrikar among others. Soch is adapted from Alfred Hitchcock's 1951 film Strangers on a Train.",Aditi Gowitrikar; Arbaaz Khan; Raveena Tandon; Sanjay Kapoor,2000.0,4,True,Hindi
Thotti Gang,tt0356138,2002.0,"Thotti Gang is a 2002 Indian Telugu-language comedy film produced and directed by E. V. V. Satyanarayana starring Allari Naresh, Prabhu Deva, Sunil, Gajala and Anita Hassanandani. The movie was released on 6 December 2002 to positive reviews and was declared a super hit at the box office. The film was based on 2001 American film Saving Silverman.",Allari Naresh; Anita Hassanandani; Brahmanandam; E. V. V. Satyanarayana; Gajala; Indukuri Sunil Varma; Prabhu Deva,2000.0,7,True,Telugu
